#
# FPS Robot Array Configuration
#
# Focal Plane Layout 2 - Rings & Things Configuration
# 2018 Jan 28 [rwp/osu]
#
# ID = a unique integer identifier for the robot
# Row = row number (Y-axis, -14 to +14, 0 is center row)
# Pos = position in row (X-axis, 0 to N_row-1, increasing with +x)
# X,Y = X,Y position in mm relative to field center (0,0)
# Assignment = position assignment
#    BA = BOSS+APOGEE Fibers
#    BOSS = BOSS Fiber (no APOGEE fiber)
#    Fiducial = Fixed Illuminated Fiducial
# Sextant = sextant number (-1 for fiducials)
#
# Totals:
#    500 robots: 300 B+A, 200 BOSS-only
#     72 Fiducials
#
# ID     Row   Pos     X (mm)  Y (mm)          Assignment     Sextant
 241      -1   24      235.2    -19.399             BOSS          3
 242      -1   25      257.6    -19.399               BA          3
 243      -1   26      280.0    -19.399             BOSS          3
 244      -1   27      302.4    -19.399               BA          3
   0       0    0     -313.6        0.0         Fiducial         -1
 245       0    1     -291.2        0.0               BA          3
 246       0    2     -268.8        0.0               BA          3
   0       0    3     -246.4        0.0         Fiducial         -1
 247       0    4     -224.0        0.0               BA          3
 248       0    5     -201.6        0.0               BA          3
   0       0    6     -179.2        0.0         Fiducial         -1
 249       0    7     -156.8        0.0               BA          3
 250       0    8     -134.4        0.0               BA          4
   0       0    9     -112.0        0.0         Fiducial         -1
   0       0   19      112.0        0.0         Fiducial         -1
 251       0   20      134.4        0.0               BA          4
 252       0   21      156.8        0.0               BA          4
   0       0   22      179.2        0.0         Fiducial         -1
 253       0   23      201.6        0.0               BA          4
 254       0   24      224.0        0.0               BA          4
   0       0   25      246.4        0.0         Fiducial         -1
 255       0   26      268.8        0.0               BA          4
 256       0   27      291.2        0.0               BA          4
   0       0   28      313.6        0.0         Fiducial         -1
   0      14    0     -156.8   271.5856         Fiducial         -1
 257      14    1     -134.4   271.5856               BA          4
 258      14    2     -112.0   271.5856               BA          4
 259      14    3      -89.6   271.5856               BA          4
   0      14    4      -67.2   271.5856         Fiducial         -1
 260      14    5      -44.8   271.5856               BA          4
 261      14    6      -22.4   271.5856               BA          4
   0      14    7        0.0   271.5856         Fiducial         -1
 262      14    8       22.4   271.5856               BA          4
 263      14    9       44.8   271.5856               BA          4
   0      14   10       67.2   271.5856         Fiducial         -1
 264      14   11       89.6   271.5856               BA          4
 265      14   12      112.0   271.5856               BA          4
 266      14   13      134.4   271.5856               BA          4
   0      14   14      156.8   271.5856         Fiducial         -1
